SCRUB_ITEM,TIME_DIM_KEY,SCRUB_TRANS_NO,TRANS_SEQ_NO,UNIT_QTY,UNIT_PRICE,UNIT_COST
1,20200429,29042,1,2.000,179.99,132.970
1,20200429,29216,1,1.000,179.99,132.970
1,20200430,29324,1,4.000,199.99,132.970
1,20200506,29929,1,2.000,199.99,132.970
1,20200513,30495,1,2.000,199.99,132.970
1,20200515,30839,1,2.000,199.99,132.970
1,20200518,30999,1,2.000,199.99,132.970
1,20200521,31386,1,2.000,159.99,132.970
1,20200527,31617,1,1.000,159.99,132.970
1,20200527,31620,1,1.000,159.99,132.970
1,20200527,31621,1,2.000,159.99,132.970
1,20200527,31623,1,2.000,159.99,132.970
1,20200529,31909,1,2.000,199.99,132.970
1,20200604,32273,1,1.000,199.99,132.970
1,20200605,32339,1,1.000,199.99,132.970
1,20200609,32490,1,1.000,199.99,132.970
1,20200610,32677,1,1.000,179.99,132.970
1,20200615,32982,1,2.000,179.99,132.970
1,20200618,33294,1,1.000,179.99,132.970
1,20200618,33295,2,1.000,179.99,132.970
1,20200619,33371,1,1.000,179.99,132.970
1,20200624,33677,1,1.000,199.99,132.970
1,20200625,33779,1,2.000,199.99,132.970
1,20200625,33781,1,1.000,199.99,132.970
1,20200630,34032,1,1.000,199.99,132.970
1,20200630,34033,2,1.000,199.99,132.970
1,20200710,34780,1,1.000,199.99,132.970
1,20200714,34936,1,1.000,199.99,132.970
1,20200723,35293,1,1.000,199.99,132.970
1,20200728,35468,1,1.000,199.99,132.970
1,20200728,35469,1,1.000,199.99,132.970
1,20200804,35695,1,2.000,199.99,132.970
1,20200805,35842,1,4.000,199.99,132.970
1,20200806,35905,1,2.000,199.99,132.970
1,20200810,36020,1,2.000,199.99,132.970
1,20200813,36253,1,1.000,199.99,132.970
1,20200818,36484,1,1.000,199.99,132.970
1,20200827,36972,1,1.000,199.99,132.970
1,20200901,37253,1,1.000,199.99,132.970
1,20200903,37320,2,2.000,199.99,132.970
1,20200904,37438,1,1.000,179.99,132.970
1,20200908,37559,2,1.000,179.99,132.970
1,20200915,37922,1,1.000,199.99,132.970
1,20200921,38378,1,1.000,199.99,132.970
1,20200922,38549,1,1.000,179.99,132.970
1,20200923,38642,2,3.000,179.99,132.970
1,20200930,39038,1,1.000,199.99,132.970
1,20200930,39109,3,2.000,199.99,132.970
1,20201005,39372,1,1.000,199.99,132.970
1,20201006,39562,1,2.000,199.99,132.970
1,20201007,39568,1,2.000,199.99,132.970
1,20201007,39569,1,1.000,199.99,132.970
1,20201007,39570,1,1.000,199.99,132.970
1,20201007,39571,1,1.000,199.99,132.970
1,20201007,39643,1,2.000,199.99,132.970
1,20201012,40010,1,3.000,199.99,132.970
1,20201012,40012,1,1.000,199.99,132.970
1,20201012,40014,1,2.000,199.99,132.970
1,20201013,40244,2,1.000,199.99,132.970
1,20201013,40245,1,2.000,199.99,132.970
1,20201014,40480,1,1.000,199.99,132.970
1,20201014,40481,1,1.000,199.99,132.970
1,20201021,41256,2,1.000,199.99,132.970
1,20201021,41257,1,1.000,199.99,132.970
1,20201021,41364,1,1.000,199.99,132.970
1,20201022,41530,1,2.000,199.99,132.970
1,20201026,41729,1,0.000,199.99,132.970
1,20201030,42524,4,4.000,199.99,132.970
1,20201102,42912,1,1.000,199.99,132.970
1,20201105,43328,1,1.000,199.99,132.970
1,20201109,43589,1,1.000,199.99,132.970
1,20201110,43868,2,1.000,179.99,132.970
1,20201110,43869,1,2.000,179.99,132.970
1,20201110,43872,1,2.000,179.99,132.970
1,20201110,43885,1,2.000,179.99,132.970
1,20201111,44324,1,1.000,179.99,132.970
1,20201111,44325,1,1.000,179.99,132.970
1,20201117,45284,2,2.000,179.99,132.970
1,20201118,45432,2,3.000,199.99,132.970
1,20201123,45821,1,1.000,179.99,132.970
1,20201123,46007,1,1.000,179.99,132.970
1,20201123,46008,1,1.000,179.99,132.970
1,20201123,46010,1,1.000,179.99,132.970
1,20201123,46037,1,2.000,199.99,132.970
1,20201130,47357,1,3.000,199.99,132.970
1,20201130,47435,1,1.000,199.99,132.970
1,20201130,47436,2,1.000,199.99,132.970
1,20201130,47437,1,1.000,199.99,132.970
1,20201130,47438,1,2.000,199.99,132.970
1,20201202,48058,1,2.000,199.99,132.970
1,20201205,48512,2,1.000,199.99,132.970
1,20201211,49553,1,2.000,199.99,132.970
1,20201214,49786,2,1.000,179.99,132.970
1,20201215,50000,1,1.000,179.99,132.970
1,20201215,50001,1,2.000,179.99,132.970
1,20201215,50003,1,2.000,179.99,132.970
1,20201218,50408,1,2.000,179.99,132.970
1,20201219,50441,1,2.000,179.99,132.970
1,20201219,50442,1,1.000,179.99,132.970
1,20201219,50443,1,1.000,179.99,132.970
1,20201222,50665,1,2.000,179.99,132.970
1,20201222,50667,1,1.000,179.99,132.970
1,20201223,50792,1,2.000,179.99,132.970
1,20201224,50828,1,1.000,179.99,132.970
1,20201224,50830,1,1.000,179.99,132.970
1,20201229,51144,1,1.000,179.99,132.970
1,20201229,51146,2,2.000,179.99,132.970
1,20201229,51147,1,1.000,179.99,132.970
1,20201229,51148,1,2.000,179.99,132.970
1,20201229,51149,1,1.000,179.99,132.970
1,20201230,51268,1,1.000,179.99,132.970
1,20210106,51675,1,1.000,199.99,132.970
1,20210106,51676,2,1.000,199.99,132.970
1,20210109,51840,1,1.000,199.99,132.970
1,20210112,52168,1,2.000,199.99,132.970
1,20210112,52169,1,1.000,199.99,132.970
1,20210115,52412,1,2.000,199.99,132.970
1,20210115,52413,1,1.000,199.99,132.970
1,20210115,52414,1,1.000,199.99,132.970
1,20210118,52487,1,1.000,199.99,132.970
1,20210119,52625,1,1.000,199.99,132.970
1,20210121,52775,1,1.000,199.99,132.970
1,20210121,52778,1,2.000,199.99,132.970
1,20210121,52779,3,2.000,199.99,132.970
1,20210123,52850,1,1.000,199.99,132.970
1,20210125,52853,1,2.000,199.99,132.970
1,20210125,52933,1,1.000,199.99,132.970
1,20210125,52934,1,1.000,199.99,132.970
1,20210126,53005,1,2.000,199.99,132.970
1,20210127,53055,1,2.000,199.99,132.970
1,20210128,53132,1,1.000,199.99,132.970
1,20210129,53205,1,2.000,199.99,132.970
1,20210129,53206,1,1.000,199.99,132.970
1,20210201,53319,1,1.000,199.99,132.970
1,20210205,53738,1,1.000,199.99,132.970
1,20210210,54092,1,1.000,199.99,132.970
1,20210215,54372,1,2.000,199.99,132.970
1,20210216,54429,1,1.000,199.99,132.970
1,20210217,54481,1,1.000,199.99,132.970
1,20210223,54800,1,1.000,199.99,132.970
1,20210225,54994,1,2.000,199.99,132.970
1,20210225,54996,1,2.000,199.99,132.970
1,20210301,55136,1,1.000,199.99,132.970
1,20210304,55535,1,2.000,179.99,132.970
1,20210305,55622,1,0.000,199.99,132.970
1,20210305,55633,1,2.000,179.99,132.970
1,20210308,55786,1,1.000,179.99,132.970
1,20210308,55790,2,1.000,179.99,132.970
1,20210308,55791,1,1.000,179.99,132.970
1,20210309,55958,1,1.000,199.99,132.970
1,20210311,56192,1,2.000,199.99,132.970
1,20210312,56269,1,2.000,199.99,132.970
1,20210316,56677,1,2.000,199.99,132.970
1,20210316,56678,1,1.000,199.99,132.970
1,20210316,56679,1,1.000,199.99,132.970
1,20210317,56789,2,1.000,179.99,132.970
1,20210317,56790,2,2.000,179.99,132.970
1,20210317,56791,1,1.000,179.99,132.970
1,20210317,56793,1,1.000,199.99,132.970
1,20210317,56813,2,2.000,179.99,132.970
1,20210317,56814,2,1.000,179.99,132.970
1,20210319,57076,2,1.000,179.99,132.970
1,20210319,57078,1,2.000,179.99,132.970
1,20210319,57079,1,1.000,179.99,132.970
1,20210319,57081,1,2.000,179.99,132.970
1,20210319,57082,1,1.000,179.99,132.970
1,20210322,57349,1,1.000,179.99,132.970
1,20210323,57675,1,2.000,199.99,132.970
1,20210324,57905,1,1.000,199.99,132.970
1,20210325,58003,2,1.000,199.99,132.970
1,20210329,58164,2,1.000,179.99,132.970
1,20210329,58169,1,2.000,179.99,132.970
1,20210331,58512,2,1.000,199.99,132.970
1,20210331,58516,1,1.000,199.99,132.970
1,20210331,58666,1,1.000,199.99,132.970
1,20210331,58667,2,2.000,199.99,132.970
1,20210402,58870,1,1.000,199.99,132.970
1,20210402,58872,1,1.000,199.99,132.970
1,20210406,59083,1,1.000,199.99,132.970
1,20210406,59084,1,1.000,199.99,132.970
1,20210409,59636,1,1.000,199.99,132.970
1,20210414,60203,1,2.000,199.99,132.970
1,20210416,60536,2,1.000,199.99,132.970
1,20210419,60780,1,2.000,199.99,132.970
1,20210420,60864,1,2.000,179.99,132.970
1,20210423,61179,1,1.000,179.99,132.970
1,20210426,61382,1,1.000,179.99,132.970
1,20210426,61433,1,2.000,179.99,132.970
1,20210427,61612,1,1.000,179.99,132.970
1,20210427,61649,1,1.000,179.99,132.970
1,20210427,61650,1,1.000,179.99,132.970
1,20210429,61938,2,2.000,199.99,132.970
1,20210430,62051,2,3.000,199.99,132.970
1,20210504,62411,1,2.000,199.99,132.970
1,20210504,62487,1,1.000,199.99,132.970
1,20210505,62582,1,2.000,199.99,132.970
1,20210506,62711,1,1.000,199.99,132.970
1,20210506,62719,2,2.000,199.99,132.970
1,20210507,62810,1,-1.000,179.99,132.970
1,20210510,63091,1,1.000,199.99,132.970
1,20210512,63464,1,1.000,199.99,132.970
1,20210512,63465,1,2.000,199.99,132.970
1,20210513,63577,2,1.000,199.99,132.970
1,20210521,64383,1,1.000,199.99,132.970
1,20210521,64384,1,2.000,199.99,132.970
1,20210521,64385,1,2.000,199.99,132.970
1,20210605,65743,1,2.000,209.99,134.430
1,20210609,65951,1,1.000,209.99,134.430
1,20210614,66255,1,1.000,209.99,134.430
1,20210614,66257,1,1.000,188.99,134.430
1,20210616,66465,1,2.000,188.99,134.430
1,20210621,66788,1,1.000,209.99,134.430
1,20210622,66959,1,2.000,188.99,134.430
1,20210622,66960,1,1.000,188.99,134.430
1,20210622,66961,1,1.000,188.99,134.430
1,20210625,67195,1,1.000,209.99,134.430
1,20210628,67337,1,1.000,209.99,134.430
1,20210629,67447,1,1.000,209.99,134.430
1,20210630,67586,1,2.000,209.99,134.430
1,20210707,68095,1,2.000,269.99,171.310
1,20210707,68097,1,1.000,269.99,171.310
1,20210707,68098,1,1.000,269.99,171.310
1,20210716,68949,1,2.000,269.99,171.310
2,20181226,7395,1,6.000,14.99,10.990
2,20181226,7399,1,2.000,14.99,10.990
2,20181227,7428,1,1.000,14.99,10.990
2,20181227,7429,1,1.000,14.99,10.990
2,20181227,7430,1,2.000,14.99,10.990
2,20181228,7444,1,1.000,14.99,10.990
2,20181231,7458,1,3.000,14.99,10.990
2,20190104,7551,1,1.000,14.99,10.990
2,20190104,7556,1,1.000,14.99,10.990
2,20190107,7581,1,4.000,14.99,10.990
2,20190107,7582,1,1.000,14.99,10.990
2,20190108,7614,1,6.000,14.99,10.990
2,20190114,7701,1,1.000,14.99,10.990
2,20190114,7702,1,1.000,14.99,10.990
2,20190114,7707,1,3.000,14.99,10.990
2,20190114,7708,1,4.000,14.99,10.990
2,20190114,7709,1,2.000,14.99,10.990
2,20190115,7741,1,2.000,14.99,10.990
2,20190115,7742,1,2.000,14.99,10.990
2,20190115,7743,1,9.000,14.99,10.990
2,20190118,7813,1,6.000,14.99,10.990
2,20190118,7817,1,2.000,14.99,10.990
2,20190121,7839,1,3.000,14.99,10.990
2,20190121,7843,1,1.000,14.99,10.990
2,20190123,7880,1,1.000,14.99,10.990
2,20190125,7935,1,4.000,14.99,10.990
2,20190128,7969,1,1.000,14.99,10.990
2,20190128,7971,1,2.000,14.99,10.990
2,20190128,7974,1,3.000,14.99,10.990
2,20190128,7975,1,1.000,14.99,10.990
2,20190128,7976,1,1.000,14.99,10.990
2,20190128,7978,1,2.000,14.99,10.990
2,20190129,8012,1,1.000,14.99,10.990
2,20190129,8014,1,1.000,14.99,10.990
2,20190129,8015,1,1.000,14.99,10.990
2,20190130,8036,1,3.000,14.99,10.990
2,20190130,8038,1,2.000,14.99,10.990
2,20190130,8039,1,2.000,14.99,10.990
2,20190130,8040,1,2.000,14.99,10.990
2,20190130,8041,1,1.000,14.99,10.990
2,20190130,8042,1,1.000,14.99,10.990
2,20190201,8089,1,6.000,14.99,10.990
2,20190204,8109,1,1.000,14.99,10.990
2,20190204,8110,1,2.000,14.99,10.990
2,20190204,8112,1,1.000,14.99,10.990
2,20190204,8117,1,3.000,14.99,10.990
2,20190204,8121,1,2.000,14.99,10.990
2,20190204,8125,1,4.000,14.99,10.990
2,20190204,8126,1,4.000,14.99,10.990
